,start,stop,AUC,fpr,tpr,support,cm,fold,# support,condition,cm_,tnr,fnr
4,200,250,0.92,0.8,0.2,"[ 0  3  9 10 12 16 17 18 20 23 28 33 34 35 36 39 43  1  2  6  7  8 11 15
 19 21 25 30 32 37 38 40 41 42]","[[1 4]
 [4 1]]",4,34,shuffle1,"[[0.2 0.8]
 [0.8 0.2]]",0.2,0.8
5,250,300,0.29166666666666663,0.5,0.5,"[ 3  8  9 10 11 12 17 18 21 22 27 30 34 37 41  1  4  6 14 15 16 19 20 23
 26 29 31 32 38 39]","[[3 3]
 [3 3]]",0,30,shuffle1,"[[0.5 0.5]
 [0.5 0.5]]",0.5,0.5
6,250,300,0.47222222222222227,0.6666666666666666,0.6666666666666666,"[ 0  2  3  7  8  9 18 23 24 31 32 33 34 37  4  6 12 13 14 19 21 25 27 28
 30 36 38 39]","[[2 4]
 [2 4]]",1,28,shuffle1,"[[0.33333333 0.66666667]
 [0.33333333 0.66666667]]",0.3333333333333333,0.3333333333333333
7,250,300,0.27999999999999997,0.2,0.8,"[ 0  1  6  7  8 12 14 18 19 20 22 25 29 30 33 35 37 39 43  2  4  5 10 11
 15 16 17 21 24 27 28 31 32 34 38 40 41]","[[4 1]
 [1 4]]",2,37,shuffle1,"[[0.8 0.2]
 [0.2 0.8]]",0.8,0.2
8,250,300,0.64,0.6,0.4,"[ 2  3  8  9 10 11 12 20 26 27 28 31 33 34 37 39 40 41  4  6  7 14 16 17
 25 29 32 35 38]","[[2 3]
 [3 2]]",3,29,shuffle1,"[[0.4 0.6]
 [0.6 0.4]]",0.4,0.6
9,250,300,0.56,0.6,0.8,"[ 3  5  9 10 12 16 17 18 23 28 33 34 35 36 39 43  2  6  7  8 11 15 19 25
 26 32 38 40 41]","[[2 3]
 [1 4]]",4,29,shuffle1,"[[0.4 0.6]
 [0.2 0.8]]",0.4,0.2
10,300,350,0.6111111111111112,0.5,0.5,"[ 2  3  8  9 11 12 17 18 21 27 30 33 34 35 37 41  1  4  7 13 15 16 19 20
 23 25 26 29 31 38 39]","[[3 3]
 [3 3]]",0,31,shuffle1,"[[0.5 0.5]
 [0.5 0.5]]",0.5,0.5
11,300,350,0.3611111111111111,0.6666666666666666,0.3333333333333333,"[ 0  2  3  8  9 10 18 20 23 24 31 32 33 34 37 41  4  5  6 11 13 14 15 21
 25 28 30 36 39]","[[2 4]
 [4 2]]",1,29,shuffle1,"[[0.33333333 0.66666667]
 [0.66666667 0.33333333]]",0.3333333333333333,0.6666666666666666
12,300,350,0.33999999999999997,0.4,1.0,"[ 0  1  6  7  8 12 13 14 18 19 20 22 25 30 33 36 39 43  2  4  5  9 10 11
 17 21 23 28 31 32 34 40 41]","[[3 2]
 [0 5]]",2,33,shuffle1,"[[0.6 0.4]
 [0.  1. ]]",0.6,0.0
13,300,350,0.22,0.4,0.8,"[ 2  3  8  9 10 11 12 18 20 22 26 27 28 31 34 37 40 41  4  5  6  7 13 16
 17 25 29 32 35 38 43]","[[3 2]
 [1 4]]",3,31,shuffle1,"[[0.6 0.4]
 [0.2 0.8]]",0.6,0.2
